customer_id,subscription_length,charge_amount,seconds_of_use,frequency_of_use,frequency_of_sms,distinct_called_numbers,call_failures,tariff_plan,status,age_group,complaints,churn
1,35,0,1420,41,36,20,1,A,Active,30-40,N,0
2,28,0,920,32,20,12,7,A,Active,Under 30,N,0
3,40,0,88,6,8,6,0,A,Inactive,30-40,N,1
4,38,0,13963,170,9,47,9,A,Active,30-40,N,0
5,38,0,13773,169,0,44,7,A,Active,30-40,N,0
6,45,3,4080,94,47,31,18,A,Active,30-40,N,0
7,39,1,7813,133,391,45,8,A,Active,30-40,N,0
8,36,0,3875,64,0,12,1,A,Active,Under 30,N,0
9,38,0,305,6,7,2,5,A,Inactive,Under 30,N,1
10,36,0,7318,127,409,45,0,A,Active,30-40,N,0
11,36,0,4020,76,0,20,0,A,Active,30-40,N,0
12,36,0,2078,43,25,28,7,A,Inactive,30-40,N,1
13,32,0,0,0,0,0,0,A,Inactive,30-40,Y,1
14,40,2,3835,85,37,30,14,B,Active,30-40,N,0
15,40,2,3400,33,490,10,9,A,Active,30-40,N,0
16,34,0,345,5,1,4,0,A,Inactive,Under 30,N,0
17,35,1,5628,98,51,26,8,A,Active,Under 30,Y,1
18,30,1,1010,36,194,10,1,B,Active,Under 30,N,0
19,42,0,1013,15,26,10,6,A,Inactive,Over 40,Y,1
20,37,0,13063,158,0,44,1,A,Active,30-40,N,0
21,36,1,338,4,4,2,0,A,Active,Over 40,N,0
22,42,1,2473,60,12,37,4,A,Active,Under 30,N,0
23,33,0,3298,70,0,22,0,A,Active,Under 30,N,0
24,32,2,1800,50,211,18,11,B,Active,30-40,N,0
25,30,0,2148,48,344,21,3,A,Active,Under 30,N,0
26,43,3,6885,94,203,32,9,A,Active,30-40,N,0
27,34,0,2028,49,0,29,0,A,Active,Under 30,N,0
28,38,0,4198,66,1,35,10,A,Active,Under 30,N,0
29,36,2,15080,222,49,30,22,A,Active,30-40,N,0
30,25,0,1225,32,19,13,10,A,Active,Under 30,N,0
31,37,0,0,0,0,0,0,A,Inactive,Under 30,N,0
32,43,1,2713,70,374,30,15,A,Active,30-40,N,0
33,20,3,2808,49,39,23,8,A,Active,30-40,N,0
34,26,0,1378,38,21,65,2,A,Active,Over 40,N,0
35,40,6,16045,241,82,49,34,B,Active,30-40,Y,0
36,35,0,0,0,0,0,0,A,Inactive,Under 30,N,1
37,31,1,1270,40,201,15,4,B,Active,Under 30,N,0
38,29,2,15770,232,0,78,20,A,Active,Under 30,N,0
39,33,0,3713,52,0,28,3,A,Active,Under 30,N,0
40,36,0,760,8,0,7,0,A,Inactive,Under 30,N,0
41,36,0,383,4,7,4,0,A,Active,Over 40,N,1
42,28,0,0,0,0,0,0,A,Inactive,30-40,N,1
43,39,0,2550,39,260,16,9,A,Active,30-40,N,0
44,10,2,1603,25,32,11,3,A,Active,30-40,N,1
45,44,3,4160,90,49,34,17,A,Active,30-40,N,0
46,17,1,9427,178,89,45,19,A,Active,Over 40,N,0
47,37,0,5728,95,32,14,1,A,Active,30-40,N,0
48,8,0,4275,34,183,6,2,A,Active,30-40,N,0
49,36,0,3718,82,2,28,2,A,Active,Under 30,N,0
50,36,0,3470,76,25,26,6,A,Active,Under 30,N,0
51,36,0,2585,36,0,18,8,A,Inactive,30-40,Y,1
52,24,0,1110,26,0,9,10,A,Active,Under 30,N,0
53,39,1,4908,77,9,35,16,A,Active,Under 30,N,0
54,22,5,3238,53,48,25,14,B,Active,30-40,N,0
55,9,1,2547,33,16,16,1,A,Active,30-40,N,0
56,32,0,2535,16,0,12,0,A,Active,30-40,N,0
57,16,0,8527,166,55,42,11,A,Active,Over 40,N,0
58,38,1,4023,88,9,30,7,A,Active,30-40,N,0
59,35,0,3778,54,0,29,5,A,Active,Under 30,N,0
60,38,2,7210,97,194,26,9,A,Active,30-40,N,0
61,11,1,1193,15,7,2,5,A,Active,30-40,Y,1
62,38,1,6163,98,9,12,8,A,Active,30-40,N,0
63,40,2,3400,33,490,10,9,A,Active,30-40,N,0
64,6,0,3375,23,183,8,0,A,Active,30-40,N,0
65,33,0,6135,77,174,22,0,A,Active,30-40,N,0
66,33,0,1200,50,18,17,25,A,Inactive,30-40,Y,1
67,39,2,3795,70,190,25,17,A,Active,Under 30,N,0
68,43,2,6760,96,201,32,8,A,Active,30-40,N,0
69,42,9,10695,103,16,48,26,B,Active,Over 40,N,0
70,33,0,2085,25,0,9,0,A,Inactive,Under 30,N,1
71,23,5,3157,57,46,22,15,A,Active,Over 40,N,0
72,35,0,1260,53,23,19,28,A,Inactive,30-40,N,1
73,35,0,2543,54,7,18,12,A,Inactive,30-40,N,0
74,37,1,13898,167,7,41,10,A,Active,30-40,N,0
75,32,0,0,0,0,0,0,A,Inactive,Under 30,N,0
76,19,2,9298,180,85,44,20,A,Active,Over 40,N,0
77,39,2,11960,161,27,52,14,A,Active,Over 40,N,0
78,22,1,1613,35,22,64,5,A,Active,Over 40,N,0
79,35,0,14580,166,122,13,0,A,Active,Under 30,N,0
80,27,1,3530,67,15,25,7,A,Active,30-40,N,0
81,41,0,5613,95,8,11,3,A,Active,30-40,N,0
82,11,4,2393,35,28,24,12,A,Active,30-40,Y,1
83,45,0,1440,30,22,19,10,A,Inactive,30-40,N,0
84,35,0,2213,50,0,28,1,A,Active,Under 30,N,0
85,31,0,628,1,1,3,0,A,Inactive,Over 40,N,1
86,24,1,1863,43,44,81,3,A,Active,Over 40,N,0
87,38,1,2895,58,173,22,9,A,Active,Under 30,N,0
88,22,0,1315,30,185,10,2,B,Active,Under 30,N,0
89,34,0,1070,53,48,21,23,A,Inactive,30-40,Y,1
90,36,0,3470,76,25,26,6,A,Active,Under 30,N,0
91,35,0,1478,25,25,8,0,A,Active,Over 40,N,0
92,34,0,1995,30,273,14,0,A,Active,30-40,N,0
93,32,0,1360,52,17,15,24,A,Inactive,Under 30,N,1
94,34,1,5963,91,7,8,6,A,Active,30-40,N,0
95,38,1,4760,86,7,25,9,A,Active,30-40,N,0
96,40,1,14078,175,7,46,12,A,Active,30-40,N,0
97,30,0,11160,142,0,44,0,A,Active,30-40,N,0
98,36,0,2780,53,175,23,6,A,Active,Under 30,N,0
99,31,2,1610,40,36,19,16,A,Active,Under 30,N,0
100,36,0,2600,20,467,3,0,A,Active,30-40,N,0
101,4,0,1487,13,0,6,1,A,Active,Under 30,N,1
102,30,0,15180,170,135,27,2,A,Active,Under 30,N,0
103,29,1,1090,32,196,13,0,B,Active,Under 30,N,0
104,38,2,2993,68,23,48,7,A,Active,Under 30,N,0
105,41,1,7588,129,394,47,4,A,Active,30-40,N,0
106,15,0,6087,135,78,40,11,B,Active,Under 30,N,0
107,34,0,2840,22,0,14,1,A,Active,30-40,N,0
108,23,0,745,21,7,3,11,A,Inactive,Under 30,N,0
109,31,5,16675,248,21,95,29,A,Active,Under 30,N,0
110,40,10,10800,102,13,46,29,B,Active,Over 40,Y,0
111,44,3,903,20,26,10,10,A,Active,Over 40,N,0
112,36,1,3025,56,177,23,8,A,Active,Under 30,N,0
113,34,0,3223,75,0,23,0,A,Active,Under 30,N,0
114,37,0,15485,182,150,30,9,A,Active,Under 30,N,0
115,41,2,5385,88,37,19,19,A,Active,30-40,N,0
116,38,1,0,0,7,0,0,A,Active,Over 40,N,0
117,35,0,958,14,0,6,0,A,Active,30-40,N,0
118,43,0,385,8,17,6,6,A,Inactive,Under 30,N,1
119,38,2,6615,92,218,30,3,A,Active,30-40,N,0
120,37,0,2170,39,310,20,0,A,Active,30-40,N,0
121,36,0,1668,25,0,6,1,A,Active,30-40,N,0
122,14,1,1740,22,20,10,5,A,Active,Under 30,N,0
123,40,4,15635,232,70,37,32,A,Active,30-40,Y,0
124,37,0,3488,55,0,35,4,A,Active,Under 30,N,0
125,44,0,970,24,28,14,7,A,Inactive,30-40,N,0
126,40,0,1665,50,46,21,5,A,Inactive,Over 40,N,0
127,34,0,1438,43,327,22,0,A,Active,Under 30,N,0
128,35,0,3183,49,0,33,0,A,Active,Under 30,N,0
129,39,0,2945,45,17,20,9,A,Inactive,30-40,Y,1
130,40,0,1623,29,8,10,1,A,Active,30-40,N,0
131,38,3,15385,228,56,32,27,A,Active,30-40,N,0
132,40,1,2298,57,13,19,12,A,Active,30-40,N,0
133,37,1,11655,155,20,50,9,A,Active,Over 40,N,0
134,34,2,2133,55,52,76,14,A,Active,Over 40,N,0
135,36,0,3280,75,16,23,4,A,Active,Under 30,N,0
136,30,3,2330,53,208,13,15,B,Active,30-40,N,0
137,16,1,9048,177,105,44,12,A,Active,Over 40,N,0
138,25,3,6958,157,107,50,26,B,Active,Under 30,N,0
139,33,0,1248,13,0,3,0,A,Active,30-40,N,0
140,40,0,15180,182,151,29,6,A,Active,Under 30,N,0
141,35,0,1910,47,40,20,5,A,Inactive,30-40,N,0
142,33,6,9420,76,0,40,10,A,Active,Over 40,N,0
143,38,1,2328,47,39,33,12,A,Active,30-40,Y,1
144,37,0,305,6,7,2,5,A,Inactive,30-40,Y,1
145,38,0,15360,184,154,33,6,A,Active,Under 30,N,0
146,30,0,2475,13,0,10,0,A,Active,30-40,N,0
147,41,2,6580,88,196,30,4,A,Active,30-40,N,0
148,37,0,3660,60,0,17,2,A,Active,Under 30,N,0
149,31,0,0,0,0,0,0,A,Inactive,Under 30,N,0
150,12,0,8753,163,62,35,10,A,Active,Over 40,N,0
151,30,0,8810,109,129,40,6,A,Active,30-40,N,0
152,24,0,1263,33,23,66,0,A,Active,Over 40,N,0
153,31,0,2420,10,0,8,0,A,Active,30-40,N,0
154,28,1,1683,44,28,67,7,A,Active,Over 40,N,0
155,35,0,4903,78,0,10,0,A,Active,Under 30,N,0
156,21,0,1568,33,22,67,2,A,Active,Over 40,N,0
157,34,0,2875,35,0,12,9,A,Inactive,Under 30,Y,1
158,38,3,9230,127,176,47,13,A,Active,30-40,N,0
159,23,0,3165,58,3,21,0,A,Active,30-40,N,0
160,27,1,1505,37,202,14,6,B,Active,Under 30,Y,1
161,36,0,1780,50,70,24,3,A,Inactive,Over 40,N,0
162,38,1,3585,81,23,25,9,A,Active,30-40,N,0
163,12,1,4085,40,216,9,0,A,Active,30-40,N,0
164,38,1,3833,87,0,27,5,A,Active,30-40,N,0
165,35,0,2058,46,0,12,7,A,Inactive,30-40,N,0
166,37,2,1048,15,12,2,6,A,Active,Over 40,N,0
167,39,3,9420,127,151,45,18,A,Active,30-40,N,0
168,36,0,323,3,9,5,2,A,Inactive,30-40,N,1
169,13,2,1568,21,10,11,4,A,Active,30-40,N,1
170,34,0,1875,37,147,6,0,A,Active,Under 30,N,0
171,30,0,1673,38,0,9,0,A,Inactive,30-40,N,0
172,37,0,2048,54,33,19,4,A,Inactive,30-40,N,0
173,31,0,7248,117,369,37,0,A,Active,Under 30,N,0
174,36,2,4318,92,23,43,6,A,Active,30-40,N,0
175,14,1,9058,169,69,37,15,A,Active,Over 40,N,0
176,46,0,623,17,22,7,7,A,Inactive,30-40,N,0
177,37,8,10625,93,7,40,26,A,Active,Over 40,N,0
178,32,4,16785,249,8,80,31,A,Active,Under 30,Y,0
179,44,1,6178,105,22,18,11,A,Active,30-40,N,0
180,36,2,6670,112,257,20,7,B,Active,30-40,N,0
181,38,1,3095,27,483,8,4,A,Active,30-40,N,0
182,30,0,1665,38,30,19,1,A,Inactive,30-40,N,0
183,29,0,2840,16,0,13,0,A,Active,30-40,N,0
184,41,0,813,12,23,9,7,A,Inactive,30-40,N,0
185,34,7,10130,87,0,40,16,A,Active,Over 40,N,0
186,7,2,1783,23,14,20,2,A,Active,30-40,Y,1
187,39,1,33,4,5,1,0,A,Active,Over 40,N,0
188,34,0,3413,76,0,26,0,A,Active,Under 30,N,0
189,39,0,3898,90,13,33,4,A,Active,Under 30,N,0
190,38,3,14895,222,52,32,23,A,Active,30-40,N,0
191,22,0,830,22,175,4,0,B,Active,Under 30,N,0
192,39,3,14735,220,36,34,24,A,Active,30-40,N,0
193,37,1,6008,98,7,22,18,A,Active,Under 30,N,1
194,38,0,1440,61,34,24,30,A,Inactive,30-40,N,1
195,21,0,930,28,176,5,0,B,Active,Under 30,N,0
196,33,1,6785,97,14,22,3,A,Active,Over 40,N,0
197,32,3,16265,238,7,78,30,A,Active,Under 30,N,0
198,40,8,10390,97,9,46,21,B,Active,Over 40,Y,0
199,35,0,13353,157,0,38,2,A,Active,30-40,N,0
200,28,0,1360,32,23,17,0,A,Inactive,30-40,N,0
201,36,0,650,47,17,16,20,A,Inactive,30-40,N,1
202,25,0,1230,15,22,1,1,A,Inactive,Over 40,N,0
203,29,0,590,38,4,13,15,A,Inactive,Under 30,N,1
204,37,0,0,0,0,0,0,A,Inactive,Under 30,N,0
205,40,0,180,8,11,5,2,A,Inactive,Under 30,N,1
206,20,1,9418,185,91,47,19,A,Active,Over 40,N,0
207,40,3,703,13,16,6,8,A,Active,Over 40,N,0
208,41,0,2055,39,286,17,1,A,Active,30-40,N,0
209,34,0,1363,28,6,14,0,A,Inactive,30-40,Y,1
210,41,0,4065,71,6,16,5,A,Active,30-40,N,0
211,16,0,1390,20,21,12,0,A,Active,Under 30,N,0
212,40,1,13833,172,5,46,10,A,Active,30-40,N,0
213,43,2,2838,68,376,30,16,A,Active,30-40,N,0
214,36,0,1933,48,1,15,4,A,Inactive,30-40,N,0
215,35,0,8210,105,116,26,4,A,Active,30-40,N,0
216,33,0,1085,33,27,13,17,A,Inactive,30-40,N,0
217,37,1,2485,37,281,15,7,A,Active,30-40,N,0
218,14,0,9337,176,74,38,13,A,Active,Over 40,N,0
219,39,0,1180,20,7,13,5,A,Inactive,Under 30,N,0
220,33,1,6123,98,25,25,16,A,Active,Under 30,N,1
221,13,0,1695,20,20,13,0,A,Active,Under 30,N,0
222,37,0,0,0,0,0,0,A,Inactive,Under 30,N,1
223,36,0,3893,60,0,33,5,A,Active,Under 30,N,0
224,35,0,2078,44,59,33,4,A,Inactive,30-40,N,1
225,38,1,4443,69,7,35,12,A,Active,Under 30,N,0
226,40,2,3890,87,30,27,14,A,Active,30-40,N,0
227,13,0,6313,139,75,38,15,B,Active,Under 30,N,0
228,40,0,3475,55,27,23,16,A,Inactive,30-40,Y,1
229,28,3,16380,238,0,81,28,A,Active,Under 30,N,0
230,31,3,16075,238,0,80,25,A,Active,Under 30,N,0
231,37,0,7508,127,384,43,3,A,Active,Under 30,N,0
232,34,0,3015,25,473,4,3,A,Active,30-40,N,0
233,33,0,2393,52,0,32,1,A,Active,Under 30,N,0
234,35,0,3180,42,18,19,11,A,Inactive,30-40,Y,1
235,30,0,3950,67,0,17,0,A,Active,30-40,N,0
236,34,0,1608,22,0,4,0,A,Active,30-40,N,0
237,7,1,1713,23,7,5,7,A,Active,30-40,Y,1
238,37,0,2245,33,253,14,4,A,Active,30-40,N,0
239,37,0,0,0,0,0,0,A,Inactive,Under 30,N,0
240,27,0,3000,57,11,25,0,A,Active,30-40,N,0
241,18,0,1885,27,37,17,4,A,Active,Under 30,N,0
242,34,0,4005,62,0,13,0,A,Active,Under 30,N,0
243,43,1,2878,72,20,40,10,A,Active,Under 30,N,0
244,14,2,1487,25,8,8,5,A,Active,30-40,Y,1
245,31,0,840,42,18,18,20,A,Inactive,Under 30,N,1
246,27,0,700,25,10,7,11,A,Inactive,Under 30,N,0
247,33,0,0,0,0,0,0,A,Inactive,Under 30,N,1
248,31,0,3233,68,0,21,0,A,Active,Under 30,N,0
249,35,0,2590,53,200,25,1,A,Active,Under 30,N,0
250,29,2,15580,231,0,75,18,A,Active,Under 30,N,0
251,35,2,7090,103,21,24,8,A,Active,Over 40,N,0
252,28,0,1405,40,30,18,12,A,Active,Under 30,N,0
253,29,0,1245,22,60,9,5,A,Inactive,Over 40,N,0
254,44,3,7023,87,123,40,15,A,Active,30-40,N,0
255,20,0,1183,31,13,62,0,A,Active,Over 40,N,0
256,25,0,640,22,5,5,8,A,Inactive,Under 30,N,0
257,9,1,4145,37,213,10,0,A,Active,30-40,N,0
258,41,0,3250,51,24,22,14,A,Inactive,30-40,Y,1
259,38,1,4515,83,2,25,7,A,Active,30-40,N,0
260,38,0,2048,55,341,26,9,A,Active,30-40,N,0
261,36,0,2190,11,455,5,0,A,Active,30-40,N,0
262,35,0,2990,41,9,16,9,A,Inactive,30-40,N,1
263,36,1,6480,97,15,21,0,A,Active,Over 40,N,0
264,38,0,2573,50,41,33,14,A,Inactive,Over 40,N,1
265,34,0,305,6,7,2,5,A,Inactive,30-40,N,1
266,25,0,390,31,0,9,13,A,Inactive,Under 30,Y,1
267,38,0,1845,52,49,25,5,A,Inactive,30-40,N,0
268,8,1,1298,19,25,9,0,A,Active,30-40,Y,1
269,37,0,3805,72,0,25,1,A,Active,30-40,N,0
270,41,0,3253,71,23,19,20,A,Inactive,Over 40,N,0
271,36,0,1743,49,334,24,4,A,Active,Under 30,N,0
272,34,3,6965,116,271,33,6,B,Active,Under 30,N,0
273,36,0,1865,32,269,13,0,A,Active,30-40,N,0
274,30,0,1715,42,25,9,22,A,Inactive,30-40,Y,1
275,39,1,14483,180,8,44,13,A,Active,30-40,N,0
276,25,1,1693,37,26,65,7,A,Active,Over 40,N,0
277,44,2,14158,177,17,50,13,A,Active,30-40,N,0
278,34,3,15185,221,46,28,25,A,Active,30-40,N,0
279,35,0,2715,24,4,17,0,A,Active,30-40,N,0
280,37,0,875,14,0,11,0,A,Inactive,Under 30,N,1
281,40,0,2098,54,7,20,5,A,Active,Under 30,N,0
282,39,0,563,8,9,4,5,A,Inactive,30-40,N,0
283,37,1,6745,89,188,26,5,A,Active,30-40,N,0
284,32,0,1935,6,0,2,0,A,Active,30-40,N,0
285,34,0,2493,48,31,29,13,A,Inactive,30-40,Y,1
286,44,4,9420,133,159,46,20,A,Active,30-40,N,0
287,42,1,3040,63,190,29,11,A,Active,Under 30,N,0
288,11,0,8568,162,61,36,4,A,Active,Over 40,N,0
289,39,0,2970,29,487,11,1,A,Active,30-40,N,0
290,41,0,1925,54,53,26,8,A,Inactive,30-40,N,0
291,36,0,2980,22,485,9,1,A,Active,30-40,N,0
292,32,0,1978,44,0,11,4,A,Inactive,30-40,N,0
293,36,0,3718,82,2,28,2,A,Active,Under 30,N,0
294,40,0,420,12,39,6,5,A,Inactive,30-40,N,1
295,36,0,305,6,7,2,5,A,Inactive,Under 30,N,1
296,36,0,2088,52,0,31,0,A,Active,Under 30,N,0
297,36,0,11350,148,0,43,7,A,Active,30-40,N,0
298,40,0,4220,79,7,12,8,A,Active,30-40,N,0
299,45,3,4820,95,17,28,14,A,Active,Over 40,N,0
300,13,0,8873,168,68,38,9,A,Active,Over 40,N,0
301,9,1,4390,40,215,10,2,A,Active,30-40,N,0
302,36,1,4493,70,15,48,9,A,Active,Under 30,N,0
303,20,3,7407,158,100,44,27,B,Active,Under 30,N,0
304,34,1,6538,67,97,32,6,A,Active,Under 30,N,0
305,41,0,1223,21,35,21,9,A,Inactive,30-40,N,0
306,30,2,15960,232,0,76,25,A,Active,Under 30,N,0
307,18,1,5987,136,67,44,15,B,Active,Under 30,N,0
308,35,0,438,7,34,6,0,A,Inactive,Over 40,N,1
309,28,0,1320,17,37,8,7,A,Inactive,Over 40,N,0
310,35,0,10970,147,0,42,0,A,Active,30-40,N,0
311,36,1,93,1,2,2,0,A,Active,Over 40,N,0
312,24,0,1508,36,25,66,1,A,Active,Over 40,N,0
313,39,2,2030,53,50,24,11,A,Active,Over 40,N,0
314,35,0,0,0,0,0,0,A,Inactive,Under 30,N,0
315,34,3,7210,119,273,33,8,B,Active,Under 30,N,0
316,40,0,2148,60,360,23,7,A,Active,30-40,N,0
317,31,0,1310,24,39,10,7,A,Inactive,Over 40,N,0
318,30,0,2505,27,0,9,2,A,Inactive,Under 30,Y,1
319,38,0,743,12,7,3,3,A,Inactive,Over 40,N,1
320,35,0,4675,71,4,18,11,A,Active,Under 30,N,0
321,34,1,6320,78,175,21,1,A,Active,30-40,N,0
322,40,9,10515,95,11,46,22,A,Active,Over 40,Y,0
323,38,0,4388,67,10,38,12,A,Active,Under 30,N,0
324,35,0,7203,121,377,41,0,A,Active,Under 30,N,0
325,36,4,16075,244,8,81,27,A,Active,Under 30,N,0
326,32,2,6660,110,264,31,1,B,Active,Under 30,N,0
327,33,0,13288,155,0,37,0,A,Active,30-40,N,0
328,29,2,1430,41,191,10,7,B,Active,30-40,N,0
329,23,2,6653,151,100,48,21,B,Active,Under 30,N,0
330,29,0,5935,70,164,18,0,A,Active,30-40,N,0
331,35,0,2990,41,9,16,9,A,Inactive,30-40,Y,1
332,35,0,6005,79,170,21,0,A,Active,30-40,N,0
333,27,3,16120,234,7,76,25,A,Active,Under 30,N,0
334,36,0,4210,77,0,23,2,A,Active,30-40,N,0
335,11,2,1602,24,0,6,6,A,Active,30-40,Y,1
336,20,1,6087,141,86,41,13,B,Active,Under 30,N,0
337,8,0,3680,29,190,10,0,A,Active,30-40,N,0
338,6,1,4210,32,204,5,0,A,Active,30-40,N,0
339,17,0,8708,167,76,42,8,A,Active,Over 40,N,0
340,26,2,15590,224,0,73,18,A,Active,Under 30,N,0
341,41,0,1113,21,27,11,7,A,Inactive,Over 40,N,1
342,35,0,14078,169,0,45,10,A,Active,30-40,N,0
343,39,0,2158,56,345,11,11,A,Active,30-40,N,0
344,27,0,2425,25,0,8,0,A,Inactive,Under 30,Y,1
345,40,0,2065,35,271,5,5,A,Active,30-40,N,0
346,36,0,4083,61,3,36,7,A,Active,Under 30,N,0
347,38,0,2555,49,178,25,2,A,Active,Under 30,N,0
348,3,0,4085,28,200,7,0,A,Active,Under 30,N,0
349,26,1,1813,42,32,68,6,A,Active,Over 40,N,0
350,32,0,2835,17,468,2,0,A,Active,30-40,N,0
351,35,0,513,1,0,3,0,A,Inactive,Over 40,N,1
352,38,1,4270,80,0,25,5,A,Active,30-40,N,0
353,21,0,1875,34,39,19,4,A,Active,Under 30,N,0
354,33,1,15530,178,142,26,9,A,Active,Under 30,N,0
355,30,2,15365,227,0,80,19,A,Active,Under 30,N,0
356,36,0,3473,79,0,28,0,A,Active,Under 30,N,0
357,39,3,8413,143,412,60,12,A,Active,30-40,N,0
358,38,0,13773,169,0,44,7,A,Active,30-40,N,0
359,32,0,2725,17,2,15,0,A,Active,30-40,N,0
360,18,2,9353,183,112,46,17,A,Active,Over 40,N,0
361,37,2,3900,80,28,25,14,A,Active,30-40,N,0
362,36,0,13468,163,0,42,2,A,Active,30-40,N,0
363,31,0,6480,91,7,20,0,A,Active,Over 40,N,0
364,35,0,4095,71,0,19,2,A,Active,30-40,N,0
365,33,0,2703,65,0,26,0,A,Active,Under 30,N,0
366,33,0,710,8,5,7,0,A,Inactive,Under 30,N,0
367,33,2,1873,51,45,71,11,A,Active,Over 40,N,0
368,36,1,11870,159,12,45,8,A,Active,30-40,N,0
369,21,0,0,0,3,0,0,A,Inactive,Over 40,N,0
370,21,1,3270,57,7,19,5,A,Active,30-40,N,0
371,9,3,4990,50,236,25,6,A,Active,30-40,N,0
372,9,0,8673,161,58,34,7,A,Active,Over 40,N,0
373,26,0,1100,34,23,16,7,A,Active,Under 30,N,0
374,36,1,3963,85,7,28,5,A,Active,30-40,N,0
375,29,0,6943,111,362,35,0,A,Active,Under 30,N,0
376,37,0,2143,46,38,34,6,A,Inactive,30-40,Y,1
377,39,0,1988,53,0,35,2,A,Active,Under 30,N,0
378,42,1,4450,73,15,21,9,A,Active,30-40,N,0
379,40,1,293,8,12,6,0,A,Active,Over 40,N,0
380,40,2,2633,53,46,35,17,A,Active,Over 40,N,1
381,29,0,1963,32,19,28,2,A,Inactive,30-40,N,1
382,17,1,9237,177,80,42,17,A,Active,Over 40,N,0
383,13,0,8628,165,66,38,7,A,Active,Over 40,N,0
384,34,0,550,42,0,19,22,A,Inactive,30-40,N,1
385,25,0,995,29,24,20,10,A,Inactive,Under 30,N,0
386,42,0,518,10,17,8,6,A,Inactive,30-40,N,1
387,29,2,1810,43,209,16,11,B,Active,30-40,N,0
388,40,2,15905,194,189,36,14,A,Active,30-40,N,0
389,14,2,2357,38,15,14,1,A,Active,30-40,N,0
390,35,1,15710,186,147,28,13,A,Active,Under 30,N,0
391,36,0,2458,45,43,34,11,A,Inactive,30-40,Y,1
392,42,0,4153,70,9,39,10,A,Active,Under 30,N,0
393,41,2,1240,23,12,15,8,A,Active,Under 30,N,0
394,37,0,1780,49,36,19,6,A,Inactive,30-40,N,0
395,18,0,1695,26,28,14,2,A,Active,Under 30,N,0
396,40,1,6413,102,23,17,13,A,Active,30-40,N,0
397,34,0,3410,73,20,24,3,A,Active,Under 30,N,0
398,36,0,2123,49,10,18,6,A,Inactive,30-40,Y,0
399,34,2,7495,108,22,22,9,A,Active,Over 40,N,0
400,29,2,1620,42,200,13,9,B,Active,30-40,N,0
401,43,2,3085,65,190,26,13,A,Active,30-40,N,0
402,34,0,0,0,0,0,0,A,Inactive,Under 30,N,0
403,25,0,925,29,7,5,15,A,Inactive,30-40,N,0
404,32,0,2780,19,0,12,0,A,Active,30-40,N,0
405,33,1,7553,123,376,39,5,A,Active,Under 30,N,0
406,37,0,1263,20,0,8,0,A,Active,Over 40,N,0
407,33,8,10740,93,0,43,24,A,Active,Over 40,N,0
408,25,2,1610,40,207,24,3,B,Active,Under 30,N,0
409,41,3,14835,225,55,31,22,A,Active,30-40,N,0
410,32,0,0,0,0,0,0,A,Inactive,Under 30,Y,1
411,36,0,623,5,6,5,3,A,Inactive,Under 30,N,0
412,30,0,5770,80,0,20,0,A,Active,Over 40,N,0
413,7,0,4330,37,210,8,0,A,Active,30-40,N,0
414,31,0,3718,76,0,27,0,A,Active,Under 30,N,0
415,38,3,15140,225,54,32,25,A,Active,30-40,N,0
416,37,0,3020,30,11,19,3,A,Active,30-40,N,0
417,37,0,2980,21,451,4,4,A,Active,30-40,N,0
418,39,0,128,4,0,1,0,A,Inactive,Under 30,N,0
419,38,0,470,9,0,13,0,A,Inactive,Under 30,N,0
420,19,5,3273,57,70,25,13,A,Active,Over 40,N,0
421,27,1,1285,35,24,15,13,A,Active,Under 30,N,0
422,29,2,6965,110,263,32,4,B,Active,Under 30,N,0
423,35,0,2180,31,274,13,2,A,Active,30-40,N,0
424,43,0,3555,57,31,24,19,A,Inactive,30-40,Y,1
425,26,0,820,27,1,15,9,A,Active,Under 30,N,0
426,21,4,2852,51,39,20,10,A,Active,30-40,N,0
427,33,0,2088,36,23,26,7,A,Inactive,30-40,Y,1
428,42,2,3855,84,42,32,12,A,Active,30-40,N,0
429,31,0,6333,67,91,31,2,A,Active,Under 30,N,0
430,35,0,4190,63,0,12,6,A,Active,30-40,N,0
431,31,0,13468,157,0,41,0,A,Active,30-40,N,0
432,21,2,6473,143,95,46,17,B,Active,Under 30,N,0
433,39,1,3070,50,293,18,10,A,Active,30-40,N,0
434,38,0,0,0,0,0,0,A,Inactive,Under 30,N,0
435,32,0,6015,72,168,19,0,A,Active,30-40,N,0
436,35,0,14990,175,134,25,2,A,Active,Under 30,N,0
437,37,2,9115,121,144,43,13,A,Active,30-40,N,0
